"G1FEF-2","dxc.hamserve.uk","7300","DX Spider"
"G3FCA-4","dxs.ddns.net","7300","DX Spider"
"G3FCA-8","arc6.ddns.net","7373","AR-Cluster"
"G3LRS-2","dxc.g3lrs.org.uk","7300","DX Spider"
"G4BFG-9","g4bfg.net","7300","DX Spider"
"G4ELI-9","spider.ham-radio.ch","8000","DX Spider"
"G5KW","uksmg.org","7300","DX Spider"
"G6NHU-2","dxspider.co.uk","7300","DX Spider"
"G7VJR","g7vjr.org","7300","OTHER"
"GB7BAA","gb7baa.com","7300","DX Spider"
"GB7CGL","gb7cgl.ath.cx","6000","AR-Cluster"
"GB7CGL-1","gb7cgl.ath.cx","23","DX Spider"
"GB7DJK","gb7djk.dxcluster.net","7300","DX Spider"
"GB7DXA","nt.amersham.net","7300","DX Spider"
"GB7DXC-5","90.155.35.170","7300","DX Spider"
"GB7DXE","gb7dxe.dyndns.org","7300","DX Spider"
"GB7DXG","gb7dxg.lebs.org.uk","7373","CC Cluster"
"GB7DXG-1","gb7dxg-1.lebs.org.uk","7300","DX Spider"
"GB7DXS","81.149.0.149","7300","CC Cluster"
"GB7HTL","81.174.245.245","7300","DX Spider"
"GB7IPF","46.208.110.199","7300","DX Spider"
"GB7KUX-4","gb7kux.hopto.me","7300","DX Spider"
"GB7MBC","www.gb7mbc.net","8000","DX Spider"
"GB7NHR","gb7nhr.dynu.net","7300","DX Spider"
"GB7RAU","gb7rau.g7rau.co.uk","7374","DX Spider"
"GB7TDX","gb7tdx.ath.cx","7300","DX Spider"
"GB7TLH-2","gb7tlh-2.dxspider.net","7300","DX Spider"
"GB7VAX","80.229.71.244","7300","DX Spider"
"GB7WDX","gb7wdx.homelinux.net","8000","DX Spider"
"GB7YDX","gb7ydx.ath.cx","7300","DX Spider"
"HA2NA-1","dxcluster.hadxc.hu","7373","AR-Cluster"
"HA5DI-5","dxc.hasix.org","8000","DX Spider"
"HA5DXC","ha5dxc.homelinux.net","8000","DX Spider"
"HA5KDR-3","44.156.82.8","7300","DX Spider"
"HA6DX","dx.hu","9000","DX Spider"
"HB9GL-6","dx.hb9gl.ch","7300","DX Spider"
"HB9HJI-2","dxspider.funkwelt.net","7300","DX Spider"
"HB9IAC-8","dxc.iapc.ch","8000","DX Spider"
"HB9ON-8","spider.hb9on.net","8000","DX Spider"
"HB9VID-2","78.47.138.186","7300","DX Spider"
"HB9VQQ-2","dxcluster.hb9vqq.ch","7300","DX Spider"
"HG8PRC","85.90.180.26","8000","DX Spider"
"HI3R-1","dxc-hi3r.ddns.net","7300","DX Spider"
"HI8S-8","hi8s.cx2sa.net","7300","DX Spider"
"HS0ZER-15","hs0zer.no-ip.com","9000","DxNet"
"I0INU-6","cluster.i0inu.it","7300","DX Spider"
"I0OJJ-6","rmgate.mooo.com","7300","DX Spider"
"I2782VE-1","swlcluster.homepc.it","7300","DX Spider"
"I3ITX-6","ik3stg.ddns.net","8000","DX Spider"
"I5UXJ-2","i5uxj-2.cln.it","8000","DX Spider"
"I8ZSE-1","dxcluster.i8zse.eu","7300","DX Spider"
"IK0XWV-6","ik0xwv.dyndns.org","7300","DX Spider"
"IK1ZNW-6","dx.ik1znw.org","8000","DX Spider"
"IK2DUW-6","dx.ik2duw.it","7300","DX Spider"
"IK2WAD-6","ik2wad.com","7300","DX Spider"
"IK2XDE-6","ik2xde.ddns.net","8000","CC Cluster"
"IK3EDJ-6","ik3edj.dxgang.net","9000","DX Spider"
"IK4ICZ-5","ik4icz.dyndns.org","7300","CC Cluster"
"IK4ICZ-6","ik4icz.dyndns.org","8000","DX Spider"
"IK4PKL-6","ik4pkl.ddns.net","7300","DX Spider"
"IK5PWJ-6","ik5pwj-6.dyndns.org","8000","DX Spider"
"IK5YZW-6","ik5yzw.no-ip.org","8000","DX Spider"
"IK5ZUK-6","ik5zuk.ddns.net","8000","DX Spider"
"IK6IHL-6","ik6ihl.dyndns.org","7300","DX Spider"
"IK6QOO-6","82.63.231.82","8000","DX Spider"
"IK6TJX-6","ham.ik6ihl.org","9000","DxNet"
"IK6VXO","dx.ik6vxo.net","23","AR-Cluster"
"IK6XMI-6","ik6xmi.homepc.it","8000","DX Spider"
"IK6ZDE-6","ik6zde.hamradioonline.net","9000","DX Spider"
"IK7IMO-6","ik7imo.ddns.net","7000","DX Spider"
"IK7NXQ-6","ik7nxu.dyndns.org","9000","DxNet"
"IK7NXU-6","ik7nxu.dyndns.org","7300","DX Spider"
"IK7QLZ-6","ik7qlz.dyndns.org","7000","DX Spider"
"IK7UXW-6","ik7uxw.dyndns.org","7300","DX Spider"
"IK7XLW-6","ik7xlw.dyndns.org","7300","DX Spider"
"IK8HJC-6","ik8hjc.dyndns.org","8000","DX Spider"
"IK8VKW-9","ik8vkw.no-ip.biz","7300","DxNet"
"IK8VRN-6","ik8vrn.dyndns.org","7000","DX Spider"
"IQ0LT-6","cluster.iq0lt.net","7300","DX Spider"
"IQ0SS","iq0ss.mine.nu","23","AR-Cluster"
"IQ1BK-6","185.58.193.163","7300","DX Spider"
"IQ1GP-6","cluster.ari-rivarolo.org","7000","DX Spider"
"IQ1IM-6","iq1im.ddns.net","7300","DX Spider"
"IQ1LA-6","iq1la-6.dyndns-ip.com","7300","DX Spider"
"IQ1RY-6","aribra.it","7000","DX Spider"
"IQ2ER-2","iq2er.ddns.net","7300","DX Spider"
"IQ2HQ","77.43.115.57","7373","AR-Cluster"
"IQ2LB-6","dx.arilimbiate.it","7300","DX Spider"
"IQ4AX-6","dxcluster.arimodena.it","8000","DX Spider"
"IQ4RN-6","iq4rn.aririmini.it","8000","DX Spider"
"IQ7DQR-CBT","cisarbt.ddns.net","80","DX Spider"
"IQ8BB-6","80.205.215.149","8000","DX Spider"
"IQ8CS-6","160.97.55.211","80","DxNet"
"IQ8DO-6","iq8do.aricaserta.it","7300","DX Spider"
"IQ8PQ-6","iq8pq.aripozzuoli.com","9000","DX Spider"
"IQ8RB-6","iq8rb.rblob.com","8000","DX Spider"
"IQ9GF-6","79.9.210.9","7300","DX Spider"
"IR2UGI-6","ir2ugi.dyndns.org","50000","DX Spider"
"IR3DXC","ir3dxc.net","41112","DX Spider"
"IR4AD","ir4ad.tzo.com","23","AR-Cluster"
